TsetName	Method	TsetSize	TotalREDfly	ModifiedREDfly	TotalREDfly2010	ModifiedREDfly2010	SCRMs	TrainingSetRecovered	PercentageTrainingSetSensitivity	ExpectedValueRandom	PercentageExpectedTrainingSetSensitivity	DifferencesInPercentagesActual&Expected	P_value	REDflyRecovered	PercentageRedflyRecovered	ExpectedOverlapRandom	PercentageExpectedOverlap	DifferencesInPercentagesActual&Expected	P_value	PercentageRecallREDflyRecovery	numberOfKnownCrmsCausesExpressionInTset	numOfSCRMsRecoveredExpMappedCrms	PercentagePatternRecovery	RandomREDflyRecoveredPattern	PercentageOfRandomPatternRecovered	numOfRecoveredSCrmsBelongingToOwnGroup	numOfRecoveredSCrmsBelongingToAnyGroup	percentageExpressionPatternPrecision	ExpectedpercentageExpressionPatternPrecision	P_value	DifferencesInPercentagesActual&ExpectedExpressionRecovered	percentageExpressionPatternRecall	ExpectedpercentageExpressionPatternRecall
mapping2.salivary_gland	imm	14	9368	23785	11461	11458	317	5	0.357142857	0	0	0.357142857	0	156	0.5	30.4	0.097435897	0.396214511	2.53E-84	0.013614942	185	179	0.573717949	144.7	0.463782051	4	179	0.022346369	0.014995076	0.328214614	0.007351293	0.021621622	0.005945946
amnioserosa.mapping1	imm	38	9368	23756	11461	11445	507	18	0.473684211	0.2	0.005263158	0.468421053	0	211	0.431492843	51.4	0.105112474	0.314792899	6.57E-162	0.018435998	377	287	0.586912065	231.8	0.47402863	22	287	0.076655052	0.02215111	8.34E-05	0.054503942	0.058355438	0.007161804
mapping2.blastoderm	imm	82	9368	23646	11461	11445	340	44	0.536585366	0.5	0.006097561	0.530487805	0	116	0.391891892	33.4	0.112837838	0.242941176	1.34E-67	0.01013543	486	158	0.533783784	172.3	0.582094595	80	158	0.506329114	0.021147437	0	0.485181677	0.164609053	0.003497942
embryonic_trachea	imm	16	9368	23782	11461	11453	310	10	0.625	0	0	0.625	0	98	0.326666667	32.1	0.107	0.212580645	6.93E-37	0.00855671	123	143	0.476666667	142.9	0.476333333	5	143	0.034965035	0.006041367	3.27E-06	0.028923668	0.040650407	0.004065041
visceral.mapping1	imm	42	9368	23742	11461	11444	505	19	0.452380952	0.1	0.002380952	0.45	0	192	0.395061728	49.4	0.101646091	0.282376238	3.88E-112	0.016777351	539	254	0.522633745	251.6	0.517695473	20	254	0.078740157	0.036623239	0.011685278	0.042116919	0.037105751	0.008348794
antenna	imm	80	9368	23716	11461	11419	465	8	0.1	0.2	0.0025	0.0975	1.05E-76	115	0.251641138	44.7	0.097811816	0.151182796	2.93E-40	0.010070934	2552	210	0.4595186	209	0.457330416	57	210	0.271428571	0.285774056	0.618943421	-0.014345484	0.022335423	0.01257837
malpig.mapping1	imm	16	9368	23783	11461	11456	452	8	0.5	0.1	0.00625	0.49375	4.80E-138	219	0.493243243	47.1	0.106081081	0.380309735	3.07E-179	0.01911662	130	257	0.578828829	205.3	0.462387387	5	257	0.019455253	0.012179508	0.290909138	0.007275745	0.038461538	0.01
mapping1.visceral_mesoderm	imm	28	9368	23752	11461	11454	444	18	0.642857143	0.2	0.007142857	0.635714286	0	174	0.408450704	42.1	0.098826291	0.297072072	1.41E-182	0.0151912	418	221	0.518779343	202.7	0.475821596	22	221	0.099547511	0.033659844	2.01E-10	0.065887667	0.052631579	0.008851675
leg_disc	imm	26	9368	23776	11461	11453	482	13	0.5	0.1	0.003846154	0.496153846	0	139	0.296375267	46.6	0.099360341	0.191701245	1.98E-56	0.012136558	950	212	0.452025586	227.5	0.485074627	30	212	0.141509434	0.131622484	0.366890476	0.00988695	0.031578947	0.016947368
ventral_ectoderm.mapping1	imm	21	9368	23773	11461	11453	396	13	0.619047619	0.2	0.00952381	0.60952381	9.89E-203	98	0.255874674	36.8	0.096083551	0.154545455	1.72E-21	0.00855671	631	164	0.428198433	167.3	0.436814621	17	164	0.103658537	0.060004373	0.024644829	0.043654164	0.026941363	0.009350238
somatic_muscle.mapping1	imm	46	9368	23737	11461	11437	557	19	0.413043478	0.4	0.008695652	0.404347826	2.13E-284	218	0.405204461	57	0.105947955	0.289048474	4.01E-261	0.019060943	375	297	0.55204461	272.4	0.506319703	16	297	0.053872054	0.022980323	0.001810615	0.030891731	0.042666667	0.008533333
mapping1.neuroectoderm	imm	9	9368	23791	11461	11459	205	7	0.777777778	0.2	0.022222222	0.755555556	8.16E-59	51	0.257575758	20.9	0.105555556	0.146829268	3.92E-27	0.00445065	125	69	0.348484848	96.6	0.487878788	7	69	0.101449275	0.011904145	2.76E-11	0.089545131	0.056	0.0048
genital_disc	imm	28	9368	23778	11461	11447	499	10	0.357142857	0	0	0.357142857	0	177	0.36196319	48.1	0.098364008	0.258316633	6.77E-70	0.015462567	393	251	0.513292434	235.6	0.481799591	13	251	0.051792829	0.052937614	0.526487748	-0.001144785	0.03307888	0.016284987
embryonic_epidermis	imm	15	9368	23793	11461	11457	414	7	0.466666667	0	0	0.466666667	0	207	0.508599509	41.5	0.101965602	0.399758454	0	0.018067557	100	249	0.611793612	201.1	0.494103194	6	249	0.024096386	0.012252195	0.209662731	0.011844191	0.06	0.013
mapping2.neuronal	imm	97	9368	23622	11461	11437	357	31	0.319587629	0.7	0.007216495	0.312371134	7.87E-297	70	0.214723926	39.2	0.120245399	0.08627451	1.39E-09	0.006120486	2452	91	0.279141104	178.3	0.546932515	33	91	0.362637363	0.23635187	0.012570403	0.126285493	0.013458401	0.008442088
adult_somatic_muscle	imm	15	9368	23784	11461	11456	311	9	0.6	0.1	0.006666667	0.593333333	1.41E-174	124	0.410596026	29.9	0.099006623	0.302572347	4.80E-73	0.010824022	41	158	0.523178808	138.3	0.45794702	5	158	0.03164557	0.001492537	8.37E-11	0.030153032	0.12195122	0.002439024
mapping1.salivary_gland	imm	14	9368	23785	11461	11458	379	6	0.428571429	0	0	0.428571429	0	163	0.436997319	40.5	0.108579088	0.323218997	1.80E-60	0.014225868	185	179	0.479892761	162	0.434316354	8	179	0.044692737	0.01407578	0.000490995	0.030616957	0.043243243	0.007567568
emb-larv_fat_body	imm	16	9368	23785	11461	11453	300	12	0.75	0	0	0.75	0	67	0.232638889	29.6	0.102777778	0.124666667	3.09E-11	0.005849996	36	97	0.336805556	131.9	0.457986111	1	97	0.010309278	0.002859477	0.10838303	0.007449801	0.027777778	0.005555556
salivary.mapping1	imm	19	9368	23775	11461	11452	407	7	0.368421053	0.1	0.005263158	0.363157895	7.54E-106	164	0.41	40.4	0.101	0.303685504	0	0.014320643	229	208	0.52	190.2	0.4755	13	208	0.0625	0.031861331	0.037838686	0.030638669	0.056768559	0.013100437
adult_pns	imm	25	9368	23775	11461	11454	386	15	0.6	0	0	0.6	0	61	0.164420485	37.4	0.100808625	0.061139896	7.44E-05	0.00532565	172	105	0.283018868	176.9	0.476819407	11	105	0.104761905	0.009912405	0	0.0948495	0.063953488	0.005813953
mapping1.mesectoderm	imm	8	9368	23792	11461	11459	319	8	1	0	0	1	0	83	0.266881029	30	0.096463023	0.166144201	2.36E-29	0.007243215	116	119	0.382636656	144.4	0.464308682	5	119	0.042016807	0.008748291	2.61E-05	0.033268516	0.043103448	0.006034483
mapping1.eye	imm	8	9368	23793	11461	11458	239	6	0.75	0	0	0.75	0	36	0.154506438	22.9	0.098283262	0.054811715	0.000592404	0.00314191	55	76	0.326180258	117.1	0.502575107	2	76	0.026315789	0	0	0.026315789	0.036363636	0
