TsetName	Method	SCRMs	REDflyRecovered	redflyoverlap	redflypercentoverlap	negorigoverlap	negorigpercentoverlap	Dset
emb-larv_excretory	pac	735	234	63	0.2692	251	0.3415	Negative
emb-larv_fat_body	hexmcd	370	49	14	0.2857	94	0.2541	Negative
emb-larv_fat_body	imm	286	36	11	0.3056	95	0.3322	Negative
emb-larv_fat_body	pac	506	87	15	0.1724	167	0.33	Negative
emb-larv_foregut	hexmcd	529	86	16	0.186	175	0.3308	Negative
emb-larv_foregut	imm	458	77	26	0.3377	194	0.4236	Negative
emb-larv_foregut	pac	708	120	33	0.275	331	0.4675	Negative
emb-larv_hindgut	hexmcd	673	83	11	0.1325	137	0.2036	Negative
emb-larv_hindgut	imm	341	55	22	0.4	106	0.3109	Negative
emb-larv_hindgut	pac	604	109	30	0.2752	220	0.3642	Negative
emb-larv_visceral	hexmcd	488	109	24	0.2202	145	0.2971	Negative
emb-larv_visceral	imm	331	76	21	0.2763	100	0.3021	Negative
emb-larv_visceral	pac	657	156	34	0.2179	220	0.3349	Negative
emb-larval_cns	hexmcd	756	49	8	0.1633	205	0.2712	Negative
emb-larval_cns	imm	661	58	8	0.1379	228	0.3449	Negative
emb-larval_cns	pac	802	72	5	0.0694	149	0.1858	Negative
emb-larval_mushroombody	hexmcd	601	40	1	0.025	33	0.0549	Negative
emb-larval_mushroombody	imm	381	23	1	0.0435	62	0.1627	Negative
emb-larval_mushroombody	pac	822	85	9	0.1059	120	0.146	Negative
emb-larval_neuron	hexmcd	733	47	0	0	43	0.0587	Negative
emb-larval_neuron	imm	687	32	2	0.0625	36	0.0524	Negative
emb-larval_neuron	pac	794	102	15	0.1471	141	0.1776	Negative
emb-larval_opticlobe	hexmcd	773	94	8	0.0851	66	0.0854	Negative
emb-larval_opticlobe	imm	606	97	13	0.134	87	0.1436	Negative
emb-larval_opticlobe	pac	797	120	24	0.2	160	0.2008	Negative
embryonic_epidermis	hexmcd	405	184	74	0.4022	242	0.5975	Negative
embryonic_epidermis	imm	392	172	69	0.4012	226	0.5765	Negative
embryonic_epidermis	pac	528	232	91	0.3922	286	0.5417	Negative
embryonic_midgut	hexmcd	605	133	31	0.2331	101	0.1669	Negative
embryonic_midgut	imm	502	85	19	0.2235	97	0.1932	Negative
embryonic_midgut	pac	736	281	86	0.306	260	0.3533	Negative
embryonic_muscle	hexmcd	505	143	58	0.4056	308	0.6099	Negative
embryonic_muscle	imm	409	93	34	0.3656	151	0.3692	Negative
embryonic_muscle	pac	655	204	79	0.3873	354	0.5405	Negative
embryonic_pns	hexmcd	458	99	29	0.2929	184	0.4017	Negative
embryonic_pns	imm	298	69	25	0.3623	145	0.4866	Negative
embryonic_pns	pac	589	133	45	0.3383	244	0.4143	Negative
embryonic_salivary	hexmcd	614	60	12	0.2	162	0.2638	Negative
embryonic_salivary	imm	417	87	38	0.4368	272	0.6523	Negative
embryonic_salivary	pac	715	90	20	0.2222	278	0.3888	Negative
embryonic_sense_organ	hexmcd	779	51	2	0.0392	96	0.1232	Negative
embryonic_sense_organ	imm	642	41	4	0.0976	113	0.176	Negative
embryonic_sense_organ	pac	855	84	9	0.1071	197	0.2304	Negative
embryonic_somatic_muscle	hexmcd	428	102	38	0.3725	184	0.4299	Negative
embryonic_somatic_muscle	imm	333	62	26	0.4194	121	0.3634	Negative
embryonic_somatic_muscle	pac	697	169	33	0.1953	241	0.3458	Negative
embryonic_trachea	hexmcd	343	81	34	0.4198	137	0.3994	Negative
embryonic_trachea	imm	219	36	7	0.1944	84	0.3836	Negative
embryonic_trachea	pac	722	124	30	0.2419	217	0.3006	Negative
embryonic_ventral_nervous_system	hexmcd	573	64	14	0.2188	69	0.1204	Negative
embryonic_ventral_nervous_system	imm	584	56	9	0.1607	69	0.1182	Negative
embryonic_ventral_nervous_system	pac	668	97	19	0.1959	210	0.3144	Negative
endoderm.mapping1	hexmcd	539	181	62	0.3425	273	0.5065	Negative
endoderm.mapping1	imm	516	121	38	0.314	155	0.3004	Negative
endoderm.mapping1	pac	653	271	105	0.3875	306	0.4686	Negative
eye.mapping1	hexmcd	479	83	25	0.3012	116	0.2422	Negative
eye.mapping1	imm	272	53	19	0.3585	76	0.2794	Negative
eye.mapping1	pac	720	193	69	0.3575	280	0.3889	Negative
eye.mapping2	hexmcd	610	142	38	0.2676	221	0.3623	Negative
eye.mapping2	imm	539	111	27	0.2432	140	0.2597	Negative
eye.mapping2	pac	940	182	35	0.1923	203	0.216	Negative
eye_disc	hexmcd	445	73	18	0.2466	253	0.5685	Negative
eye_disc	imm	388	73	19	0.2603	135	0.3479	Negative
eye_disc	pac	819	104	22	0.2115	291	0.3553	Negative
eye-antennal_disc	hexmcd	502	85	18	0.2118	213	0.4243	Negative
eye-antennal_disc	imm	459	92	29	0.3152	166	0.3617	Negative
eye-antennal_disc	pac	778	107	18	0.1682	194	0.2494	Negative
fat_body.mapping1	hexmcd	386	41	12	0.2927	93	0.2409	Negative
fat_body.mapping1	imm	263	49	12	0.2449	114	0.4335	Negative
fat_body.mapping1	pac	485	78	16	0.2051	168	0.3464	Negative
female_gonad.mapping1	hexmcd	638	92	9	0.0978	70	0.1097	Negative
female_gonad.mapping1	imm	441	99	30	0.303	138	0.3129	Negative
female_gonad.mapping1	pac	632	120	21	0.175	203	0.3212	Negative
female_reproductive	hexmcd	385	50	9	0.18	85	0.2208	Negative
female_reproductive	imm	271	71	27	0.3803	132	0.4871	Negative
female_reproductive	pac	602	86	19	0.2209	205	0.3405	Negative
genital_disc	hexmcd	563	104	33	0.3173	158	0.2806	Negative
genital_disc	imm	486	99	25	0.2525	119	0.2449	Negative
genital_disc	pac	655	175	45	0.2571	242	0.3695	Negative
glia	hexmcd	721	56	0	0	16	0.0222	Negative
glia	imm	517	63	7	0.1111	38	0.0735	Negative
glia	pac	804	118	14	0.1186	171	0.2127	Negative
glia.mapping1	hexmcd	804	99	7	0.0707	57	0.0709	Negative
glia.mapping1	imm	458	58	13	0.2241	78	0.1703	Negative
glia.mapping1	pac	802	137	18	0.1314	253	0.3155	Negative
glia.mapping2	hexmcd	868	102	6	0.0588	41	0.0472	Negative
glia.mapping2	imm	491	66	13	0.197	86	0.1752	Negative
glia.mapping2	pac	587	103	18	0.1748	194	0.3305	Negative
gonad	hexmcd	705	52	3	0.0577	14	0.0199	Negative
gonad	imm	794	59	2	0.0339	12	0.0151	Negative
gonad	pac	718	122	9	0.0738	59	0.0822	Negative
haltere_disc	hexmcd	525	96	25	0.2604	145	0.2762	Negative
haltere_disc	imm	379	71	25	0.3521	113	0.2982	Negative
haltere_disc	pac	744	164	43	0.2622	246	0.3306	Negative
imaginal_disc	hexmcd	651	48	2	0.0417	28	0.043	Negative
imaginal_disc	imm	572	51	10	0.1961	71	0.1241	Negative
imaginal_disc	pac	897	108	16	0.1481	238	0.2653	Negative
leg	hexmcd	554	45	7	0.1556	45	0.0812	Negative
leg	imm	547	48	12	0.25	56	0.1024	Negative
leg	pac	760	179	44	0.2458	251	0.3303	Negative
leg_disc	hexmcd	553	51	9	0.1765	104	0.1881	Negative
leg_disc	imm	487	51	14	0.2745	83	0.1704	Negative
leg_disc	pac	892	183	27	0.1475	183	0.2052	Negative
male_gonad.mapping1	hexmcd	500	27	6	0.2222	22	0.044	Negative
male_gonad.mapping1	imm	359	29	4	0.1379	36	0.1003	Negative
male_gonad.mapping1	pac	944	168	26	0.1548	219	0.232	Negative
male_reproductive	hexmcd	525	28	4	0.1429	25	0.0476	Negative
male_reproductive	imm	368	34	7	0.2059	27	0.0734	Negative
male_reproductive	pac	793	155	22	0.1419	172	0.2169	Negative
malpig.mapping1	hexmcd	700	97	13	0.134	72	0.1029	Negative
malpig.mapping1	imm	403	65	15	0.2308	66	0.1638	Negative
malpig.mapping1	pac	735	254	62	0.2441	220	0.2993	Negative
mapping1.amnioserosa	hexmcd	351	48	9	0.1875	88	0.2507	Negative
mapping1.amnioserosa	imm	178	26	4	0.1538	57	0.3202	Negative
mapping1.amnioserosa	pac	540	71	13	0.1831	154	0.2852	Negative
mapping1.blastoderm	hexmcd	376	94	42	0.4468	183	0.4867	Negative
mapping1.blastoderm	imm	331	109	56	0.5138	140	0.423	Negative
mapping1.blastoderm	pac	535	99	35	0.3535	171	0.3196	Negative
mapping1.cns	hexmcd	593	65	8	0.1231	87	0.1467	Negative
mapping1.cns	imm	482	62	19	0.3065	91	0.1888	Negative
mapping1.cns	pac	694	92	19	0.2065	171	0.2464	Negative
mapping1.dorsal_ectoderm	hexmcd	371	61	15	0.2459	124	0.3342	Negative
mapping1.dorsal_ectoderm	imm	203	45	20	0.4444	65	0.3202	Negative
mapping1.dorsal_ectoderm	pac	565	70	12	0.1714	177	0.3133	Negative
mapping1.ectoderm	hexmcd	588	105	17	0.1619	106	0.1803	Negative
mapping1.ectoderm	imm	562	95	26	0.2737	147	0.2616	Negative
mapping1.ectoderm	pac	770	193	36	0.1865	171	0.2221	Negative
mapping1.endoderm	hexmcd	579	68	10	0.1471	34	0.0587	Negative
mapping1.endoderm	imm	458	59	12	0.2034	72	0.1572	Negative
mapping1.endoderm	pac	828	151	17	0.1126	99	0.1196	Negative
mapping1.eye	hexmcd	301	42	13	0.3095	132	0.4385	Negative
mapping1.eye	imm	159	22	7	0.3182	66	0.4151	Negative
mapping1.eye	pac	702	85	6	0.0706	223	0.3177	Negative
mapping1.female_gonad	hexmcd	645	33	5	0.1515	402	0.6233	Negative
mapping1.female_gonad	imm	310	28	7	0.25	137	0.4419	Negative
mapping1.female_gonad	pac	738	74	11	0.1486	211	0.2859	Negative
mapping1.glia	hexmcd	471	72	15	0.2083	162	0.3439	Negative
mapping1.glia	imm	184	47	11	0.234	71	0.3859	Negative
mapping1.glia	pac	557	61	12	0.1967	245	0.4399	Negative
mapping1.imaginal_disc	hexmcd	439	41	14	0.3415	227	0.5171	Negative
mapping1.imaginal_disc	imm	502	70	19	0.2714	197	0.3924	Negative
mapping1.imaginal_disc	pac	725	77	12	0.1558	206	0.2841	Negative
mapping1.male_gonad	hexmcd	585	83	6	0.0723	107	0.1829	Negative
mapping1.male_gonad	imm	420	54	11	0.2037	116	0.2762	Negative
mapping1.male_gonad	pac	841	112	12	0.1071	162	0.1926	Negative
mapping1.malpighian_tubules	hexmcd	340	56	10	0.1786	78	0.2294	Negative
mapping1.malpighian_tubules	imm	209	34	3	0.0882	44	0.2105	Negative
mapping1.malpighian_tubules	pac	663	111	27	0.2432	167	0.2519	Negative
mapping1.mesectoderm	hexmcd	364	87	24	0.2759	155	0.4258	Negative
mapping1.mesectoderm	imm	239	55	17	0.3091	84	0.3515	Negative
mapping1.mesectoderm	pac	610	132	25	0.1894	190	0.3115	Negative
mapping1.mesoderm	hexmcd	442	76	17	0.2237	181	0.4095	Negative
mapping1.mesoderm	imm	397	81	27	0.3333	147	0.3703	Negative
mapping1.mesoderm	pac	530	66	13	0.197	126	0.2377	Negative
mapping1.neuroectoderm	hexmcd	365	56	24	0.4286	200	0.5479	Negative
mapping1.neuroectoderm	imm	161	28	8	0.2857	72	0.4472	Negative
mapping1.neuroectoderm	pac	422	60	28	0.4667	253	0.5995	Negative
mapping1.pns	hexmcd	387	43	17	0.3953	210	0.5426	Negative
mapping1.pns	imm	427	70	24	0.3429	149	0.3489	Negative
mapping1.pns	pac	580	54	8	0.1481	175	0.3017	Negative
mapping1.salivary_gland	hexmcd	467	164	60	0.3659	209	0.4475	Negative
mapping1.salivary_gland	imm	325	110	41	0.3727	127	0.3908	Negative
mapping1.salivary_gland	pac	659	217	72	0.3318	236	0.3581	Negative
mapping1.somatic_muscle	hexmcd	654	151	18	0.1192	56	0.0856	Negative
mapping1.somatic_muscle	imm	549	92	21	0.2283	70	0.1275	Negative
mapping1.somatic_muscle	pac	662	176	35	0.1989	160	0.2417	Negative
mapping1.tracheal_system	hexmcd	671	71	9	0.1268	115	0.1714	Negative
mapping1.tracheal_system	imm	441	51	11	0.2157	120	0.2721	Negative
mapping1.tracheal_system	pac	782	104	5	0.0481	138	0.1765	Negative
mapping1.ventral_ectoderm	hexmcd	498	64	25	0.3906	200	0.4016	Negative
mapping1.ventral_ectoderm	imm	389	80	31	0.3875	154	0.3959	Negative
mapping1.ventral_ectoderm	pac	588	86	29	0.3372	316	0.5374	Negative
mapping1.visceral_mesoderm	hexmcd	639	240	51	0.2125	172	0.2692	Negative
mapping1.visceral_mesoderm	imm	485	139	47	0.3381	145	0.299	Negative
mapping1.visceral_mesoderm	pac	641	219	73	0.3333	266	0.415	Negative
mapping2.amnioserosa	hexmcd	351	48	14	0.2917	141	0.4017	Negative
mapping2.amnioserosa	imm	178	26	4	0.1538	60	0.3371	Negative
mapping2.amnioserosa	pac	540	71	19	0.2676	149	0.2759	Negative
mapping2.blastoderm	hexmcd	376	94	41	0.4362	167	0.4441	Negative
mapping2.blastoderm	imm	331	109	54	0.4954	150	0.4532	Negative
mapping2.blastoderm	pac	535	99	31	0.3131	155	0.2897	Negative
mapping2.ectoderm	hexmcd	556	93	19	0.2043	158	0.2842	Negative
mapping2.ectoderm	imm	605	118	34	0.2881	162	0.2678	Negative
mapping2.ectoderm	pac	764	156	34	0.2179	254	0.3325	Negative
mapping2.endoderm	hexmcd	579	68	10	0.1471	51	0.0881	Negative
mapping2.endoderm	imm	458	59	14	0.2373	79	0.1725	Negative
mapping2.endoderm	pac	828	151	21	0.1391	140	0.1691	Negative
mapping2.eye	hexmcd	407	43	13	0.3023	150	0.3686	Negative
mapping2.eye	imm	391	50	14	0.28	128	0.3274	Negative
mapping2.eye	pac	791	83	15	0.1807	238	0.3009	Negative
mapping2.glia	hexmcd	470	77	13	0.1688	120	0.2553	Negative
mapping2.glia	imm	236	50	9	0.18	74	0.3136	Negative
mapping2.glia	pac	585	72	16	0.2222	243	0.4154	Negative
mapping2.imaginal_disc	hexmcd	331	37	11	0.2973	174	0.5257	Negative
mapping2.imaginal_disc	imm	441	69	17	0.2464	179	0.4059	Negative
mapping2.imaginal_disc	pac	768	77	8	0.1039	190	0.2474	Negative
mapping2.mesectoderm	hexmcd	364	87	24	0.2759	133	0.3654	Negative
mapping2.mesectoderm	imm	239	55	15	0.2727	71	0.2971	Negative
mapping2.mesectoderm	pac	610	132	28	0.2121	225	0.3689	Negative
mapping2.mesoderm	hexmcd	677	177	19	0.1073	83	0.1226	Negative
mapping2.mesoderm	imm	461	142	31	0.2183	91	0.1974	Negative
mapping2.mesoderm	pac	687	224	45	0.2009	175	0.2547	Negative
mapping2.neuroectoderm	hexmcd	365	57	27	0.4737	206	0.5644	Negative
mapping2.neuroectoderm	imm	161	29	11	0.3793	72	0.4472	Negative
mapping2.neuroectoderm	pac	422	60	21	0.35	222	0.5261	Negative
mapping2.neuronal	hexmcd	383	42	10	0.2381	129	0.3368	Negative
mapping2.neuronal	imm	393	57	21	0.3684	97	0.2468	Negative
mapping2.neuronal	pac	557	56	9	0.1607	198	0.3555	Negative
mapping2.reproductive_system	hexmcd	289	40	8	0.2	115	0.3979	Negative
mapping2.reproductive_system	imm	317	44	9	0.2045	92	0.2902	Negative
mapping2.reproductive_system	pac	786	123	17	0.1382	192	0.2443	Negative
mapping2.salivary_gland	hexmcd	467	164	51	0.311	209	0.4475	Negative
mapping2.salivary_gland	imm	325	110	39	0.3545	132	0.4062	Negative
mapping2.salivary_gland	pac	659	217	66	0.3041	204	0.3096	Negative
mapping2.tracheal_system	hexmcd	671	71	12	0.169	158	0.2355	Negative
mapping2.tracheal_system	imm	441	51	12	0.2353	131	0.2971	Negative
mapping2.tracheal_system	pac	782	104	10	0.0962	212	0.2711	Negative
mapping2.wing	hexmcd	482	59	22	0.3729	220	0.4564	Negative
mapping2.wing	imm	627	97	22	0.2268	198	0.3158	Negative
mapping2.wing	pac	674	70	7	0.1	164	0.2433	Negative
mesectoderm.mapping1	hexmcd	495	85	32	0.3765	227	0.4586	Negative
mesectoderm.mapping1	imm	313	76	34	0.4474	141	0.4505	Negative
mesectoderm.mapping1	pac	591	69	18	0.2609	247	0.4179	Negative
mesoderm.mapping1	hexmcd	590	87	13	0.1494	85	0.1441	Negative
mesoderm.mapping1	imm	473	103	32	0.3107	145	0.3066	Negative
mesoderm.mapping1	pac	609	83	10	0.1205	113	0.1856	Negative
mesoderm.mapping2	hexmcd	665	214	65	0.3037	257	0.3865	Negative
mesoderm.mapping2	imm	585	165	54	0.3273	141	0.241	Negative
mesoderm.mapping2	pac	684	232	53	0.2284	247	0.3611	Negative
myoblast	hexmcd	396	64	14	0.2188	114	0.2879	Negative
myoblast	imm	219	41	13	0.3171	92	0.4201	Negative
myoblast	pac	412	71	20	0.2817	182	0.4417	Negative
neuron	hexmcd	744	61	0	0	23	0.0309	Negative
neuron	imm	765	59	2	0.0339	27	0.0353	Negative
neuron	pac	652	54	11	0.2037	120	0.184	Negative
pns.mapping1	hexmcd	684	66	11	0.1667	68	0.0994	Negative
pns.mapping1	imm	484	70	19	0.2714	90	0.186	Negative
pns.mapping1	pac	644	112	27	0.2411	202	0.3137	Negative
reproductive.mapping2	hexmcd	674	41	1	0.0244	6	0.0089	Negative
reproductive.mapping2	imm	893	65	3	0.0462	14	0.0157	Negative
reproductive.mapping2	pac	666	109	6	0.055	82	0.1231	Negative
salivary.mapping1	hexmcd	568	117	33	0.2821	126	0.2218	Negative
salivary.mapping1	imm	427	78	13	0.1667	78	0.1827	Negative
salivary.mapping1	pac	805	167	31	0.1856	236	0.2932	Negative
somatic_muscle.mapping1	hexmcd	523	159	53	0.3333	268	0.5124	Negative
somatic_muscle.mapping1	imm	508	127	38	0.2992	190	0.374	Negative
somatic_muscle.mapping1	pac	715	194	65	0.3351	319	0.4462	Negative
trachea.mapping1	hexmcd	398	81	30	0.3704	168	0.4221	Negative
trachea.mapping1	imm	352	58	13	0.2241	109	0.3097	Negative
trachea.mapping1	pac	644	108	19	0.1759	167	0.2593	Negative
ventral_ectoderm.mapping1	hexmcd	479	62	9	0.1452	69	0.1441	Negative
ventral_ectoderm.mapping1	imm	289	60	16	0.2667	99	0.3426	Negative
ventral_ectoderm.mapping1	pac	588	68	9	0.1324	110	0.1871	Negative
visceral.mapping1	hexmcd	635	171	58	0.3392	263	0.4142	Negative
visceral.mapping1	imm	427	91	31	0.3407	160	0.3747	Negative
visceral.mapping1	pac	664	164	45	0.2744	228	0.3434	Negative
wing.mapping2	hexmcd	457	52	10	0.1923	42	0.0919	Negative
wing.mapping2	imm	344	65	13	0.2	100	0.2907	Negative
wing.mapping2	pac	372	48	8	0.1667	90	0.2419	Negative
